NO_OF_FRAMES	441
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
564	5.63000	219.110	219.085	1626.208	208.657	385.449	1362.000	205.361	461.325	1037.364	271.325	472.764	808.958	203.546	100.316	1355.995	186.893	15.813	1037.244	235.061	-14.222	809.620	230.518	432.810	835.915	235.138	377.992	465.438	183.936	361.578	66.442	126.088	321.555	29.183	278.259	387.662	27.499	348.420	341.082	28.588	230.638	34.690	828.485	235.163	89.376	458.893	178.037	120.524	67.407	127.712	163.341	30.013	273.043	95.999	27.282	340.219	140.510	28.697
565	5.64000	219.275	219.038	1626.272	208.559	385.474	1361.992	205.240	461.215	1037.197	271.340	472.800	808.986	203.502	100.361	1355.995	186.880	15.804	1037.294	235.079	-14.193	809.538	230.684	433.055	835.912	235.048	378.140	465.179	183.957	361.431	66.533	126.116	321.564	29.067	278.310	387.720	27.406	348.354	341.121	28.607	230.430	34.683	828.575	235.133	89.372	458.927	177.977	120.438	67.485	127.723	163.304	30.066	273.063	96.072	27.311	340.248	140.486	28.673
566	5.65000	218.925	219.273	1626.252	208.553	385.603	1362.023	205.381	461.372	1037.375	271.381	472.823	808.942	203.536	100.370	1356.008	186.836	15.750	1037.304	235.037	-14.257	809.636	230.670	432.828	835.827	235.129	378.224	465.534	184.044	361.393	66.403	126.059	321.524	29.097	278.272	387.741	27.452	348.372	341.070	28.488	230.381	34.650	828.568	235.088	89.332	458.945	178.017	120.404	67.408	127.662	163.296	30.129	273.056	96.023	27.280	340.174	140.496	28.693
567	5.66000	219.309	219.379	1626.365	208.587	385.497	1361.960	205.287	461.244	1037.279	271.216	472.761	808.934	203.474	100.359	1356.041	186.832	15.771	1037.307	235.096	-14.283	809.637	230.344	432.910	835.927	234.642	377.870	465.351	183.931	361.604	66.496	126.074	321.618	29.126	278.247	387.656	27.347	348.445	341.083	28.518	230.435	34.590	828.711	235.070	89.437	458.967	178.012	120.471	67.434	127.756	163.373	30.041	273.039	96.053	27.320	340.190	140.435	28.738
568	5.67000	218.999	219.413	1626.272	208.663	385.521	1361.985	205.204	461.378	1037.346	271.145	472.807	808.944	203.458	100.410	1356.079	186.810	15.711	1037.348	235.004	-14.318	809.686	230.298	432.861	835.940	235.246	378.307	465.182	183.970	361.486	66.529	126.058	321.514	29.144	278.259	387.687	27.413	348.383	341.074	28.515	230.500	34.800	828.548	235.043	89.312	458.964	178.009	120.496	67.418	127.825	163.344	30.021	273.051	96.029	27.350	340.203	140.540	28.707
569	5.68000	218.903	219.264	1626.306	208.621	385.459	1362.004	204.984	461.405	1037.481	271.085	472.839	808.904	203.504	100.382	1356.102	186.831	15.692	1037.436	234.986	-14.305	809.802	230.376	432.890	836.067	234.680	377.944	465.237	184.015	361.449	66.576	126.080	321.600	29.158	278.252	387.691	27.436	348.325	341.111	28.495	230.250	34.670	828.583	234.987	89.371	458.959	177.921	120.460	67.365	127.701	163.385	30.019	273.095	96.062	27.285	340.184	140.412	28.741
570	5.69000	219.230	219.377	1626.416	208.553	385.523	1362.001	205.178	461.362	1037.405	270.882	472.684	808.768	203.454	100.390	1356.077	186.865	15.631	1037.382	235.070	-14.406	809.760	230.388	432.980	835.994	235.001	378.139	465.401	184.111	361.488	66.483	126.137	321.572	29.088	278.265	387.740	27.440	348.324	341.078	28.549	230.212	34.678	828.663	235.068	89.432	458.920	177.948	120.493	67.439	127.739	163.322	30.048	273.028	96.039	27.357	340.179	140.461	28.689
571	5.70000	219.229	219.510	1626.451	208.546	385.488	1362.000	205.087	461.323	1037.320	271.050	472.800	808.990	203.519	100.418	1356.146	186.779	15.572	1037.527	235.073	-14.454	809.760	230.260	432.893	835.863	235.303	378.556	465.342	184.009	361.510	66.507	126.047	321.555	29.118	278.290	387.714	27.427	348.415	341.067	28.531	230.248	34.671	828.495	235.049	89.399	458.895	177.964	120.505	67.421	127.813	163.290	29.975	273.070	96.035	27.334	340.147	140.471	28.705
572	5.71000	219.083	219.556	1626.186	208.579	385.538	1362.031	205.095	461.375	1037.416	270.795	472.640	808.756	203.494	100.446	1356.092	186.899	15.495	1037.480	235.052	-14.543	809.904	230.467	433.189	835.863	234.568	377.758	465.036	184.020	361.493	66.493	126.081	321.574	29.108	278.267	387.737	27.541	348.368	341.057	28.550	230.083	34.719	828.635	235.023	89.429	458.942	178.057	120.498	67.420	127.767	163.277	30.023	273.026	96.068	27.230	340.201	140.487	28.702
573	5.72000	218.974	219.593	1626.413	208.632	385.542	1362.109	205.074	461.411	1037.447	270.868	472.897	809.029	203.478	100.440	1356.144	186.895	15.481	1037.513	235.199	-14.478	809.783	230.129	433.018	835.930	234.852	378.024	465.364	184.156	361.491	66.467	126.084	321.536	29.017	278.284	387.620	27.473	348.388	341.051	28.455	230.354	34.876	828.666	234.940	89.423	459.005	178.034	120.523	67.402	127.779	163.404	30.078	273.070	96.047	27.271	340.161	140.509	28.724
574	5.73000	219.178	219.446	1626.279	208.630	385.488	1362.070	204.949	461.432	1037.665	270.557	472.628	808.794	203.499	100.443	1356.136	186.921	15.442	1037.590	235.213	-14.569	809.870	230.099	433.014	836.032	235.202	378.327	465.563	184.041	361.472	66.499	126.179	321.566	29.153	278.208	387.736	27.434	348.451	341.083	28.604	229.999	34.825	828.626	234.967	89.386	458.985	178.009	120.402	67.423	127.813	163.362	30.010	272.984	96.017	27.285	340.144	140.452	28.726
575	5.74000	219.148	219.612	1626.245	208.649	385.561	1362.101	204.961	461.413	1037.617	270.833	472.904	809.021	203.434	100.427	1356.270	186.883	15.407	1037.578	235.238	-14.610	809.918	230.163	432.996	836.003	234.943	378.515	465.565	183.857	361.606	66.624	126.188	321.567	29.041	278.247	387.722	27.408	348.357	341.083	28.569	230.165	34.908	828.538	235.014	89.512	458.902	178.042	120.439	67.420	127.785	163.422	30.009	273.062	96.069	27.346	340.137	140.487	28.727
576	5.75000	219.061	219.606	1626.349	208.610	385.543	1362.141	204.966	461.567	1037.609	270.574	472.833	808.874	203.516	100.458	1356.234	186.914	15.287	1037.666	235.271	-14.699	809.898	230.113	432.981	836.008	235.173	378.343	465.299	184.165	361.780	66.605	126.076	321.617	29.144	278.259	387.766	27.436	348.374	341.084	28.488	229.989	34.846	828.468	234.859	89.392	459.025	177.972	120.546	67.399	127.782	163.435	30.051	273.039	96.035	27.317	340.150	140.493	28.745
577	5.76000	219.253	219.693	1626.435	208.663	385.561	1362.140	204.903	461.480	1037.614	270.481	472.806	808.863	203.513	100.470	1356.288	186.956	15.259	1037.756	235.282	-14.789	809.937	229.931	433.073	835.928	235.127	378.239	465.323	184.014	361.497	66.542	126.036	321.653	29.195	278.246	387.649	27.397	348.369	341.072	28.542	229.954	34.843	828.567	234.973	89.489	458.888	177.963	120.507	67.394	127.647	163.385	30.055	273.154	96.110	27.267	340.180	140.472	28.710
578	5.77000	219.239	219.690	1626.445	208.740	385.490	1362.166	204.828	461.503	1037.661	270.589	473.031	809.116	203.472	100.498	1356.317	186.959	15.153	1037.795	235.324	-14.861	809.948	230.015	433.017	836.060	234.549	377.843	465.095	184.175	361.486	66.325	126.107	321.617	29.097	278.291	387.769	27.491	348.397	341.104	28.557	229.903	34.903	828.522	234.884	89.423	458.955	178.033	120.517	67.421	127.733	163.357	30.083	273.154	96.118	27.227	340.140	140.489	28.693
579	5.78000	219.337	219.686	1626.460	208.731	385.532	1362.204	204.864	461.687	1037.750	270.558	473.063	809.108	203.516	100.419	1356.319	186.962	15.204	1037.748	235.321	-14.961	810.078	229.886	433.110	835.981	235.550	378.729	465.625	184.034	361.526	66.466	126.033	321.588	29.123	278.246	387.764	27.434	348.351	341.075	28.533	229.954	34.958	828.610	234.881	89.458	458.996	178.056	120.523	67.436	127.816	163.405	30.030	273.154	96.073	27.263	340.165	140.523	28.684
580	5.79000	219.008	219.528	1626.275	208.723	385.575	1362.178	204.835	461.617	1037.866	270.473	473.122	809.103	203.545	100.467	1356.346	186.961	15.103	1037.774	235.349	-14.985	810.063	229.897	432.974	835.923	234.555	377.922	465.104	184.073	361.793	66.532	126.192	321.554	29.043	278.287	387.713	27.453	348.301	341.071	28.528	229.736	34.885	828.730	234.927	89.510	458.921	178.024	120.528	67.435	127.769	163.320	30.023	273.034	96.090	27.330	340.147	140.510	28.668
581	5.80000	219.033	219.452	1626.360	208.669	385.586	1362.277	205.087	461.721	1037.866	270.449	473.174	809.182	203.532	100.454	1356.378	186.924	15.032	1037.880	235.218	-15.170	810.125	229.920	432.988	835.914	234.950	378.250	465.630	183.890	361.653	66.572	126.067	321.580	29.060	278.275	387.747	27.460	348.415	341.061	28.494	230.009	35.004	828.487	234.841	89.512	458.960	178.046	120.564	67.339	127.753	163.343	30.011	273.038	96.081	27.359	340.198	140.501	28.698
582	5.81000	219.509	219.758	1626.267	208.758	385.556	1362.234	204.982	461.637	1037.864	270.519	473.263	809.193	203.504	100.397	1356.398	187.027	15.003	1037.902	235.252	-15.227	810.148	229.798	433.039	835.976	234.597	377.852	465.056	183.955	361.563	66.537	126.062	321.596	29.024	278.291	387.769	27.446	348.343	341.110	28.528	229.767	34.892	828.570	234.863	89.542	458.941	178.060	120.478	67.401	127.808	163.381	29.985	273.086	96.081	27.341	340.206	140.506	28.730
583	5.82000	219.373	219.777	1626.445	208.630	385.559	1362.275	204.922	461.725	1038.086	270.434	473.332	809.187	203.557	100.417	1356.389	187.004	14.906	1037.878	235.221	-15.307	810.222	229.778	433.162	836.050	234.678	378.031	465.222	184.044	361.575	66.531	126.164	321.607	29.102	278.278	387.741	27.540	348.375	341.079	28.595	229.941	35.064	828.442	234.869	89.563	458.918	177.987	120.495	67.420	127.757	163.311	30.049	273.066	96.106	27.309	340.212	140.531	28.690
584	5.83000	219.467	219.508	1626.635	208.783	385.541	1362.310	205.006	461.822	1038.075	270.607	473.600	809.422	203.597	100.435	1356.408	186.986	14.921	1037.935	235.226	-15.309	810.264	229.631	433.222	836.053	234.328	377.888	465.155	183.998	361.574	66.505	126.128	321.616	29.094	278.209	387.722	27.433	348.317	341.079	28.536	229.761	34.933	828.643	234.736	89.454	458.970	178.029	120.503	67.394	127.779	163.368	30.000	272.977	96.031	27.309	340.199	140.517	28.712
585	5.84000	219.435	219.699	1626.579	208.789	385.452	1362.306	204.839	461.849	1038.143	270.496	473.692	809.511	203.568	100.429	1356.436	186.993	14.810	1037.982	235.294	-15.395	810.281	229.745	433.329	835.946	234.864	378.256	465.707	184.058	361.688	66.602	126.039	321.531	29.076	278.235	387.747	27.390	348.425	341.080	28.528	229.852	34.987	828.578	234.840	89.550	458.958	177.972	120.456	67.408	127.847	163.409	29.936	273.011	96.064	27.245	340.167	140.469	28.726
586	5.85000	219.598	219.691	1626.358	208.738	385.477	1362.349	205.008	461.903	1038.157	270.462	473.751	809.531	203.671	100.445	1356.432	187.076	14.780	1037.950	235.299	-15.450	810.286	229.725	433.184	836.002	234.693	378.105	465.502	184.037	361.476	66.428	126.115	321.564	29.096	278.372	387.707	27.433	348.327	341.058	28.563	229.612	34.922	828.602	234.780	89.554	458.953	177.961	120.489	67.415	127.755	163.404	30.066	273.100	95.992	27.332	340.211	140.492	28.723
587	5.86000	219.417	219.733	1626.379	208.752	385.477	1362.416	204.937	461.869	1038.130	270.514	473.843	809.480	203.662	100.452	1356.472	187.042	14.767	1038.051	235.350	-15.484	810.190	229.570	433.081	835.959	235.012	378.442	465.531	183.838	361.616	66.640	126.084	321.614	29.107	278.274	387.708	27.472	348.359	341.019	28.602	229.661	34.941	828.544	234.718	89.507	458.944	178.066	120.418	67.424	127.776	163.348	30.029	273.052	96.068	27.301	340.168	140.488	28.681
588	5.87000	219.385	219.476	1626.328	208.819	385.392	1362.378	204.758	462.171	1038.198	270.484	473.882	809.563	203.655	100.422	1356.451	187.049	14.782	1037.984	235.329	-15.581	810.310	229.608	433.270	836.088	234.426	377.931	465.138	184.006	361.493	66.533	126.026	321.506	29.064	278.257	387.723	27.521	348.300	341.112	28.568	229.647	34.985	828.515	234.700	89.573	458.997	177.987	120.570	67.395	127.739	163.382	30.063	273.032	96.087	27.338	340.133	140.461	28.736
