NO_OF_FRAMES	135
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:12:54	195952.96520102
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
2197	21.96000	99.475	361.270	1570.069	-14.782	520.578	1335.429	-38.377	642.528	1031.411	172.633	574.574	1074.652	-29.036	238.061	1313.443	-31.572	126.345	1010.862	142.811	270.337	1021.923	-27.528	585.295	799.398	-87.172	528.170	451.572	-348.650	495.407	133.304	-412.570	447.285	134.138	-297.688	511.755	35.264	-234.726	468.495	30.077	7.423	179.976	798.741	146.104	246.147	452.129	196.995	301.158	63.746	153.341	352.271	32.388	291.037	273.051	27.381	355.412	312.695	36.573
2198	21.97000	110.360	358.332	1571.551	-3.286	517.875	1337.440	-29.163	640.083	1033.926	182.966	573.847	1076.071	-17.589	235.636	1314.770	-17.511	123.921	1012.199	155.730	268.844	1024.113	-13.127	583.280	798.938	-68.263	528.396	449.374	-338.484	496.604	141.044	-401.332	448.378	146.213	-294.446	511.534	38.001	-234.351	468.386	30.170	19.611	177.541	802.486	156.509	245.650	454.248	197.634	301.626	64.046	153.748	351.983	32.670	291.301	273.001	27.391	356.654	312.067	34.965
2199	21.98000	120.812	355.701	1573.156	8.025	515.236	1339.357	-19.846	637.524	1036.565	192.358	572.823	1077.014	-5.937	233.099	1316.101	-3.777	121.265	1013.912	168.340	267.486	1026.423	0.643	581.224	798.265	-47.712	528.957	448.772	-326.826	497.778	148.254	-387.963	448.728	158.134	-289.947	511.343	42.140	-234.802	468.203	29.776	31.008	174.809	805.300	166.435	245.481	455.844	196.978	301.844	64.414	153.962	351.940	32.820	291.507	272.762	27.264	358.708	311.567	33.328
2200	21.99000	130.903	353.214	1574.571	19.393	512.557	1341.175	-10.203	635.431	1039.261	202.838	572.076	1078.635	5.434	230.837	1317.593	9.818	118.784	1015.750	181.103	266.016	1028.713	14.843	579.177	797.528	-26.034	529.579	446.338	-313.587	498.588	155.200	-373.043	449.254	170.167	-284.229	511.484	48.056	-234.854	467.408	29.961	41.797	172.128	808.113	175.290	245.367	456.241	197.156	301.731	64.661	153.986	352.176	32.895	291.699	272.892	27.244	360.493	311.633	32.176
2201	22.00000	141.140	351.048	1577.129	30.426	510.201	1342.894	-0.292	633.314	1041.975	212.956	571.579	1080.429	16.826	228.776	1319.083	23.101	116.370	1017.692	193.371	264.466	1031.180	28.486	576.905	796.038	-4.052	530.496	443.928	-299.535	499.037	163.476	-357.702	450.469	182.384	-275.870	511.355	55.657	-232.534	467.894	32.827	52.573	169.888	810.070	183.844	244.771	455.760	197.661	301.733	64.628	153.987	352.170	32.903	291.596	272.689	27.142	361.063	311.514	31.471
2202	22.01000	151.145	348.902	1579.474	41.311	507.921	1344.696	9.416	631.752	1044.360	223.578	571.181	1082.540	28.144	226.744	1320.728	36.052	113.915	1019.739	205.443	262.620	1033.526	41.723	574.866	794.964	18.419	530.324	441.757	-284.705	498.837	172.213	-342.535	452.140	193.906	-264.160	510.695	64.301	-223.620	469.446	36.689	62.905	167.354	812.015	191.586	244.071	454.659	199.139	302.270	64.308	153.898	352.016	32.863	291.686	272.445	27.223	361.320	312.010	30.908
2203	22.02000	161.562	347.011	1581.375	51.875	505.913	1346.459	19.417	630.137	1046.383	233.575	570.499	1084.296	39.873	224.635	1322.307	48.899	111.307	1021.429	217.662	261.295	1035.568	54.562	572.718	793.827	41.392	529.966	437.507	-268.500	498.336	180.811	-325.799	452.403	204.586	-250.866	510.529	72.694	-208.423	471.379	41.607	73.118	165.059	813.637	197.721	243.151	454.123	197.420	301.318	64.476	153.921	351.961	33.001	291.650	272.239	27.169	361.789	312.554	30.279
2204	22.03000	171.308	345.387	1583.632	62.139	504.033	1348.339	29.381	628.912	1048.149	244.734	570.729	1086.371	51.586	222.501	1324.058	61.398	108.983	1022.994	229.502	259.902	1037.374	66.998	570.689	792.550	64.873	528.923	433.093	-250.959	496.826	188.937	-307.993	450.042	213.314	-235.520	510.526	81.993	-191.994	472.199	47.876	82.431	163.236	815.544	201.553	242.123	454.298	198.969	301.679	64.058	153.802	351.865	32.966	291.501	271.978	27.016	362.011	312.964	30.005
2205	22.04000	181.534	343.780	1585.650	72.118	502.257	1350.060	39.373	627.561	1049.829	254.916	570.084	1088.519	63.618	220.570	1325.655	73.755	106.744	1024.895	241.272	258.530	1039.110	79.161	569.117	791.633	89.302	528.349	431.005	-232.257	495.534	195.990	-289.549	448.021	220.259	-217.115	509.576	89.559	-175.524	471.047	55.191	92.072	161.668	816.985	204.458	240.632	455.142	199.199	301.426	64.104	153.840	351.976	32.739	291.491	271.811	26.992	362.249	312.873	30.050
2206	22.05000	191.542	342.121	1587.664	81.856	500.659	1351.862	49.842	626.666	1051.498	264.566	569.358	1090.240	75.549	218.887	1327.453	85.931	104.559	1026.770	252.675	257.209	1040.741	91.199	567.899	791.471	112.936	527.229	432.068	-211.568	494.299	201.642	-269.617	447.397	225.983	-196.880	507.857	95.046	-156.915	468.547	61.455	101.525	160.745	818.453	205.855	239.193	455.890	199.179	301.285	64.108	153.551	351.987	32.710	291.459	271.875	26.892	362.198	312.596	29.925
2207	22.06000	201.970	341.179	1589.236	91.576	499.016	1353.552	60.251	625.578	1053.385	274.426	568.715	1092.779	87.363	217.439	1329.201	97.898	102.540	1028.813	264.100	255.795	1042.131	102.467	567.095	792.328	135.384	526.437	435.577	-189.932	492.538	206.191	-248.780	446.939	230.112	-173.948	505.859	99.992	-133.278	465.510	66.596	110.599	160.057	819.281	207.365	237.954	456.212	199.119	301.224	64.085	153.318	351.584	32.835	291.293	271.648	26.863	362.239	312.137	29.753
2208	22.07000	211.984	340.012	1591.312	100.995	497.587	1355.099	70.275	624.296	1055.155	284.780	568.715	1095.245	98.977	216.155	1331.058	109.693	100.664	1030.935	275.304	254.679	1043.769	113.861	566.034	793.980	156.877	525.371	439.467	-167.049	491.186	209.113	-227.031	446.260	232.735	-149.148	503.113	102.656	-108.712	461.741	70.636	118.707	159.337	820.804	209.451	236.942	455.783	199.113	301.111	64.148	153.239	351.628	32.850	291.199	271.478	26.748	362.081	311.683	29.509
2209	22.08000	222.320	338.761	1592.892	110.330	496.405	1356.778	80.095	623.338	1056.645	294.170	568.290	1097.350	110.625	214.990	1332.888	121.224	98.703	1033.097	286.526	253.183	1045.502	123.923	564.541	795.856	177.968	524.742	443.583	-142.950	489.523	210.507	-204.322	445.263	233.568	-123.795	500.646	104.542	-82.714	457.351	72.858	126.716	158.970	822.064	211.424	235.945	455.565	199.115	301.045	64.171	152.942	351.567	32.706	291.157	271.385	26.783	362.193	311.262	29.540
2210	22.09000	232.797	338.265	1594.705	119.477	495.259	1358.358	89.613	622.123	1058.351	304.142	568.136	1099.575	121.954	214.087	1334.711	132.460	97.049	1035.327	297.549	251.969	1047.387	134.051	562.849	798.292	199.191	524.197	447.313	-119.017	487.785	210.825	-180.827	443.848	232.777	-96.579	497.588	104.986	-54.290	454.343	76.961	134.634	158.246	822.668	214.302	234.950	455.244	199.080	300.907	64.111	153.072	351.849	32.741	290.980	271.137	26.682	362.184	310.889	29.581
2211	22.10000	243.211	337.666	1596.523	128.545	494.215	1359.898	98.681	621.022	1060.039	313.473	567.831	1101.382	132.875	213.141	1336.722	143.775	95.410	1037.295	308.439	250.782	1049.337	143.956	561.249	800.774	219.915	523.184	450.937	-93.402	485.460	210.201	-156.628	442.013	230.225	-68.571	494.596	105.237	-25.624	450.516	78.565	142.642	157.482	823.422	216.945	234.176	455.106	199.043	300.815	64.057	152.901	351.682	32.870	290.954	270.952	26.538	362.350	310.841	29.425
2212	22.11000	254.112	337.141	1597.766	137.624	493.076	1361.368	107.767	619.747	1061.741	322.842	567.453	1103.423	143.652	212.169	1338.736	154.879	94.148	1039.673	319.133	249.727	1051.364	154.200	559.730	803.781	240.657	522.243	453.733	-67.202	483.217	208.252	-131.939	439.711	226.441	-38.538	492.585	104.287	4.963	447.722	79.110	149.661	156.597	824.177	220.366	233.562	454.862	199.073	300.663	63.999	152.794	351.612	32.923	290.846	270.753	26.478	361.942	310.361	29.445
2213	22.12000	264.727	337.200	1598.653	146.716	492.033	1362.713	116.592	618.412	1062.931	331.803	567.112	1105.240	154.147	211.276	1340.625	165.900	92.614	1041.755	329.867	248.733	1053.277	164.120	558.240	805.881	260.505	520.467	456.985	-40.670	480.672	204.450	-106.444	436.379	220.504	-8.728	490.388	102.652	35.160	444.212	78.383	157.272	155.816	825.071	224.286	233.347	454.684	199.055	300.499	64.036	152.699	351.555	32.901	290.638	270.653	26.423	361.938	310.278	29.349
