NO_OF_FRAMES	689
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:38:20	197478.89455217
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1153	11.52000	1062.206	359.166	519.848	806.266	488.912	537.009	749.771	577.692	260.412	739.555	588.986	22.727	801.482	241.612	531.748	755.515	142.108	266.858	743.188	120.982	35.446	348.069	553.981	519.410	9.763	510.679	254.677	-390.313	505.145	143.310	-458.313	472.306	173.501	-373.094	504.180	37.251	-321.227	439.470	24.635	355.239	159.066	543.785	-14.112	201.536	282.563	-398.331	228.163	152.681	-461.366	277.684	171.515	-378.911	212.925	47.377	-335.494	255.053	29.768
1154	11.53000	1062.038	358.594	511.126	806.201	487.876	536.782	750.749	577.485	260.197	739.692	588.921	22.632	801.931	241.696	531.373	755.363	142.257	266.596	743.100	121.065	35.401	346.722	554.501	523.215	10.573	511.487	259.214	-389.432	504.936	143.764	-457.229	471.637	174.100	-373.107	504.135	37.213	-321.311	439.268	24.557	356.339	159.636	544.071	-11.005	200.714	280.773	-395.438	227.440	153.473	-457.945	277.074	173.611	-378.005	212.671	47.996	-335.378	254.840	29.504
1155	11.54000	1061.631	357.870	502.851	807.751	487.922	536.272	751.397	577.395	260.290	739.416	588.774	22.608	802.469	241.790	531.183	755.604	142.506	266.614	743.160	121.089	35.381	346.600	555.085	528.750	11.507	512.284	264.013	-388.597	505.014	144.907	-455.925	471.213	174.818	-372.831	503.861	37.161	-321.684	438.775	24.495	358.390	160.172	544.812	-7.007	199.651	278.767	-392.057	227.031	154.906	-453.985	276.816	176.493	-377.105	212.168	49.244	-335.434	254.484	29.288
1156	11.55000	1061.263	356.941	495.194	809.240	488.191	536.300	751.963	577.336	260.306	739.547	588.582	22.336	803.020	241.539	531.158	756.086	142.895	266.628	743.192	121.085	35.459	345.617	554.922	532.605	11.792	513.857	267.009	-387.455	505.235	145.380	-454.355	470.914	175.550	-372.526	503.667	36.813	-321.666	438.386	24.478	360.138	160.904	545.637	-2.428	198.620	276.128	-388.041	226.963	157.033	-449.059	277.227	179.810	-375.660	211.808	50.660	-335.177	254.135	28.965
1157	11.56000	1060.829	356.271	488.543	809.014	486.807	534.947	752.077	577.578	260.384	739.192	588.899	23.119	802.873	242.042	530.561	756.672	143.197	266.887	743.109	121.116	35.431	345.174	555.776	536.959	12.724	514.131	271.681	-385.837	505.312	145.821	-452.981	471.005	176.871	-372.016	503.989	37.555	-321.693	438.479	24.390	362.125	161.993	546.408	3.279	197.469	272.416	-383.168	227.125	158.904	-443.301	277.958	183.410	-373.651	211.669	52.839	-334.520	253.825	28.897
1158	11.57000	1060.213	355.156	482.416	809.749	486.380	534.026	751.990	577.685	260.511	739.466	589.059	23.075	802.741	242.239	529.604	757.052	143.207	267.010	743.325	121.051	35.475	344.904	556.407	541.554	13.212	514.865	274.915	-384.463	505.654	146.518	-451.384	470.952	177.444	-371.399	504.420	37.981	-321.609	438.420	24.340	364.661	162.934	548.328	10.223	196.745	267.212	-377.631	227.478	161.625	-436.724	278.801	187.872	-371.267	211.861	55.738	-333.761	253.389	29.017
1159	11.58000	1059.187	354.263	477.105	810.300	485.789	533.474	751.897	577.818	260.581	739.532	588.960	22.891	802.621	241.948	529.121	757.050	143.233	266.842	743.198	121.057	35.519	345.282	557.171	546.149	13.875	515.415	278.977	-383.160	505.878	146.996	-449.762	471.000	177.841	-370.574	504.352	38.154	-321.618	438.337	24.489	367.060	164.126	549.805	18.647	195.851	259.642	-371.056	227.904	165.208	-428.832	280.134	193.082	-368.413	212.050	58.961	-332.846	252.884	29.631
1160	11.59000	1058.044	353.748	472.033	810.570	485.312	533.136	751.818	577.477	260.520	739.583	588.929	22.903	802.289	241.353	529.081	756.654	143.126	266.730	743.349	121.108	35.519	344.760	557.642	550.277	13.728	516.407	282.345	-381.623	506.148	147.331	-448.475	471.165	178.342	-370.195	504.339	38.416	-321.413	438.536	24.393	369.630	165.359	551.842	28.596	195.214	251.034	-363.115	228.602	169.248	-419.752	281.516	199.155	-364.556	212.189	63.627	-330.848	252.388	30.791
1161	11.60000	1057.525	351.794	467.518	810.670	484.677	533.019	752.043	576.962	260.483	739.769	588.855	23.013	801.586	240.643	529.560	756.258	142.976	266.401	743.214	121.073	35.669	345.044	558.492	553.857	14.906	517.237	285.442	-380.228	506.459	147.795	-447.418	471.408	178.729	-369.662	504.402	38.437	-321.383	438.329	24.388	372.137	166.564	553.231	39.239	194.239	241.722	-354.223	229.233	174.054	-409.340	282.616	206.296	-360.090	213.073	69.149	-327.292	251.865	32.737
1162	11.61000	1057.653	351.704	467.591	810.578	484.215	533.868	752.602	576.523	260.494	739.799	588.864	23.041	800.881	239.794	529.903	755.651	143.018	266.338	743.260	121.069	35.542	345.620	559.412	558.237	14.896	517.425	287.979	-379.514	506.820	147.878	-446.599	471.822	179.045	-369.201	504.559	38.450	-321.533	438.422	24.556	374.495	167.801	555.023	50.414	193.178	232.315	-344.308	230.054	179.672	-397.733	283.426	213.988	-353.933	213.907	74.682	-322.589	251.653	35.608
1163	11.62000	1057.780	351.614	467.664	810.147	483.620	533.767	753.394	575.913	260.445	739.791	588.812	22.994	799.727	239.121	529.748	754.423	142.941	266.519	743.238	121.081	35.577	346.622	560.518	561.361	15.578	518.075	289.300	-378.921	507.111	148.084	-446.085	472.344	179.163	-368.887	504.861	38.776	-321.891	438.694	24.730	376.744	169.138	556.117	62.978	191.989	222.587	-333.297	230.710	186.205	-384.726	284.098	222.668	-346.581	215.193	82.033	-316.538	251.714	40.142
1164	11.63000	1057.907	351.524	467.737	809.550	482.979	533.334	753.709	575.563	260.615	739.753	588.624	23.045	798.114	238.473	529.546	753.894	142.877	266.523	743.265	121.153	35.587	346.338	561.056	564.164	15.075	518.473	291.176	-378.628	507.459	147.920	-445.889	472.829	179.048	-368.287	504.958	38.439	-321.477	438.275	24.481	378.591	170.443	557.040	75.281	190.518	213.144	-320.569	232.052	192.458	-370.032	284.794	231.765	-338.280	216.757	89.357	-310.273	252.694	45.495
1165	11.64000	1058.034	351.434	467.810	808.750	482.131	533.007	753.311	575.120	260.865	739.143	588.178	22.899	796.531	237.519	529.794	753.296	142.733	266.410	743.317	121.118	35.615	346.921	562.181	567.077	15.059	518.974	292.413	-378.818	507.740	147.931	-446.048	473.261	178.950	-368.391	504.666	38.253	-321.320	438.295	24.439	380.320	171.560	557.990	88.377	189.663	203.610	-306.463	233.180	198.930	-353.698	285.871	240.728	-328.537	217.926	97.084	-301.951	253.821	52.035
1166	11.65000	1058.162	351.344	467.883	807.955	481.466	532.678	753.055	575.405	261.065	739.149	588.049	22.889	794.681	236.682	529.713	752.517	142.558	266.375	743.178	121.091	35.583	347.612	562.953	568.865	15.373	519.309	293.770	-379.038	507.774	147.806	-446.523	473.512	178.618	-368.007	504.805	38.109	-321.195	438.297	24.333	381.500	172.728	558.111	101.992	189.171	194.389	-290.974	233.953	206.242	-336.285	287.095	249.861	-317.425	220.066	104.723	-292.492	255.596	59.419
1167	11.66000	1058.289	351.254	467.956	806.725	480.486	532.100	752.583	575.577	261.222	739.179	588.087	22.949	792.457	235.820	529.547	751.723	142.053	266.588	743.151	121.043	35.420	347.922	563.761	570.324	14.674	519.713	294.381	-379.567	507.546	147.638	-447.172	473.324	178.262	-367.869	504.724	38.244	-321.198	438.301	24.404	382.117	174.012	558.151	115.517	188.724	186.347	-274.239	235.159	212.851	-317.288	288.341	259.227	-305.058	222.285	113.020	-282.412	258.290	66.556
1168	11.67000	1058.416	351.163	468.030	805.507	479.610	531.838	752.083	575.407	260.980	739.072	588.106	22.858	790.252	234.689	529.563	750.700	141.600	266.558	743.169	120.979	35.466	348.217	564.647	570.999	13.917	519.795	294.148	-380.185	507.041	147.265	-448.065	472.924	177.821	-367.741	504.654	38.416	-321.156	438.292	24.421	382.774	174.981	557.533	129.280	188.292	179.434	-256.270	236.203	219.737	-296.828	289.181	268.639	-291.972	224.909	120.933	-270.746	261.858	73.980
1169	11.68000	1058.544	351.073	468.103	804.057	478.612	531.536	751.832	575.274	260.957	739.107	588.164	22.855	787.730	233.770	529.695	749.557	140.953	266.621	743.177	120.965	35.494	348.355	565.667	571.407	12.270	520.057	293.063	-381.380	506.533	147.066	-449.350	472.262	177.177	-367.655	504.411	38.664	-320.951	438.238	24.352	382.891	175.615	556.666	143.406	187.852	173.283	-237.318	237.444	226.463	-275.304	289.751	277.819	-277.382	227.457	129.061	-257.968	265.525	81.994
