X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.703042	1.571644e-06	4.391399e-06	3.892406e-06	2.545625e-05	
11.704043	1.545880e-06	4.316041e-06	3.982382e-06	2.541417e-05	
11.705043	1.526953e-06	4.238719e-06	4.076809e-06	2.537073e-05	
11.706043	1.515257e-06	4.159716e-06	4.175679e-06	2.532599e-05	
11.707043	1.511187e-06	4.079313e-06	4.278987e-06	2.528002e-05	
11.708043	1.515139e-06	3.997792e-06	4.386727e-06	2.523291e-05	
11.709043	1.527507e-06	3.915437e-06	4.498892e-06	2.518471e-05	
11.710043	1.548686e-06	3.832529e-06	4.615475e-06	2.513551e-05	
11.711044	1.579070e-06	3.749351e-06	4.736471e-06	2.508538e-05	
11.712044	1.619056e-06	3.666185e-06	4.861874e-06	2.503438e-05	
11.713044	1.669037e-06	3.583313e-06	4.991677e-06	2.498259e-05	
11.714044	1.729408e-06	3.501017e-06	5.125873e-06	2.493009e-05	
11.715044	1.800565e-06	3.419581e-06	5.264457e-06	2.487694e-05	
11.716044	1.882903e-06	3.339285e-06	5.407423e-06	2.482321e-05	
11.717044	1.976815e-06	3.260413e-06	5.554763e-06	2.476899e-05	
11.718045	2.082697e-06	3.183246e-06	5.706472e-06	2.471433e-05	
11.719045	2.200944e-06	3.108067e-06	5.862544e-06	2.465932e-05	
11.720045	2.331951e-06	3.035158e-06	6.022972e-06	2.460402e-05	
11.721045	2.476113e-06	2.964802e-06	6.187749e-06	2.454851e-05	
11.722045	2.633824e-06	2.897280e-06	6.356871e-06	2.449285e-05	
11.723045	2.805479e-06	2.832876e-06	6.530329e-06	2.443713e-05	
11.724046	2.991474e-06	2.771870e-06	6.708119e-06	2.438141e-05	
11.725046	3.192174e-06	2.714539e-06	6.890225e-06	2.432576e-05	
11.726046	3.407396e-06	2.661003e-06	7.076451e-06	2.427019e-05	
11.727046	3.636455e-06	2.611245e-06	7.266439e-06	2.421462e-05	
11.728046	3.878648e-06	2.565243e-06	7.459826e-06	2.415901e-05	
11.729046	4.133271e-06	2.522974e-06	7.656246e-06	2.410328e-05	
11.730046	4.399623e-06	2.484418e-06	7.855337e-06	2.404737e-05	
11.731047	4.677000e-06	2.449550e-06	8.056733e-06	2.399121e-05	
11.732047	4.964698e-06	2.418349e-06	8.260070e-06	2.393476e-05	
11.733047	5.262016e-06	2.390794e-06	8.464985e-06	2.387793e-05	
11.734047	5.568251e-06	2.366861e-06	8.671113e-06	2.382068e-05	
11.735047	5.882698e-06	2.346528e-06	8.878089e-06	2.376293e-05	
11.736047	6.204656e-06	2.329773e-06	9.085551e-06	2.370462e-05	
11.737047	6.533421e-06	2.316575e-06	9.293133e-06	2.364569e-05	
11.738048	6.868291e-06	2.306909e-06	9.500472e-06	2.358607e-05	
11.739048	7.208562e-06	2.300756e-06	9.707203e-06	2.352571e-05	
11.740048	7.553532e-06	2.298091e-06	9.912962e-06	2.346453e-05	
11.741048	7.902497e-06	2.298894e-06	1.011738e-05	2.340248e-05	
11.742048	8.254755e-06	2.303141e-06	1.032011e-05	2.333950e-05	
11.743048	8.609603e-06	2.310811e-06	1.052077e-05	2.327551e-05	
11.744049	8.966337e-06	2.321882e-06	1.071900e-05	2.321046e-05	
11.745049	9.324255e-06	2.336330e-06	1.091443e-05	2.314428e-05	
11.746049	9.682654e-06	2.354134e-06	1.110671e-05	2.307691e-05	
11.747049	1.004083e-05	2.375272e-06	1.129547e-05	2.300828e-05	
11.748049	1.039808e-05	2.399721e-06	1.148035e-05	2.293834e-05	
11.749049	1.075371e-05	2.427459e-06	1.166097e-05	2.286701e-05	
11.750049	1.110700e-05	2.458464e-06	1.183698e-05	2.279425e-05	
11.751050	1.145726e-05	2.492714e-06	1.200801e-05	2.271997e-05	
11.752050	1.180378e-05	2.530187e-06	1.217371e-05	2.264413e-05	
11.753050	1.214587e-05	2.570860e-06	1.233369e-05	2.256665e-05	
11.754050	1.248281e-05	2.614710e-06	1.248761e-05	2.248747e-05	
11.755050	1.281390e-05	2.661717e-06	1.263509e-05	2.240654e-05	
11.756050	1.313845e-05	2.711857e-06	1.277577e-05	2.232378e-05	
11.757050	1.345574e-05	2.765108e-06	1.290929e-05	2.223913e-05	
11.758051	1.376508e-05	2.821449e-06	1.303528e-05	2.215253e-05	
11.759051	1.406576e-05	2.880856e-06	1.315338e-05	2.206392e-05	
11.760051	1.435709e-05	2.943308e-06	1.326323e-05	2.197323e-05	
11.761051	1.463834e-05	3.008783e-06	1.336445e-05	2.188040e-05	
11.762051	1.490884e-05	3.077258e-06	1.345669e-05	2.178537e-05	
11.763051	1.516786e-05	3.148710e-06	1.353959e-05	2.168808e-05	
11.764052	1.541471e-05	3.223119e-06	1.361277e-05	2.158845e-05	
11.765052	1.564869e-05	3.300461e-06	1.367588e-05	2.148643e-05	
11.766052	1.586909e-05	3.380714e-06	1.372855e-05	2.138195e-05	
11.767052	1.607520e-05	3.463856e-06	1.377041e-05	2.127495e-05	
11.768052	1.626634e-05	3.549865e-06	1.380110e-05	2.116537e-05	
11.769052	1.644178e-05	3.638719e-06	1.382026e-05	2.105315e-05	
11.770052	1.660084e-05	3.730395e-06	1.382753e-05	2.093821e-05	
11.771053	1.674280e-05	3.824871e-06	1.382253e-05	2.082050e-05	
11.772053	1.686697e-05	3.922125e-06	1.380490e-05	2.069996e-05	
11.773053	1.697264e-05	4.022135e-06	1.377429e-05	2.057651e-05	
